Sikayet,Kaynak
"purchased a kitchen at Ikea burbank store in october 2024 and have received 4 partial shipments but never received the bulk of the shipment and spoke to dozens of customer service representative who keep promising a delivery ""tomorrow"" that never happens",PissedConsumer_Global
"Original review updated Jun 17, 2024 My wife and I recently ordered a couch and throw pillows from Ikea, and unfortunately, our experience was far from satisfactory. Let me break down the issues we encountered: Delayed Delivery and Extra Charges: We paid an additional $150 for scheduled delivery, with the promise of receiving our items within three days. However, the reality was quite different. After we paid, it took us well over a week to get a scheduled delivery.",PissedConsumer_Global
"First off, they reply in Estonian, even when requesting someone that speaks English. Id love to speak the language, but I just dont. When the delivery person did not respond when I called at a missed delivery (because he did not park at the correct apartment building..and then walked over to mine, quickly taking a photopart of the scam), I looked at my ikea.ee message and it said to contact them. I contacted them and they said you can only get help via email. Well, thats weird, but okay. So I do.",PissedConsumer_Global
"I placed an order, paid in-store for shipping, and my order has not arrived. I called customer service a total of 10 times and I still have no answers. I have no idea what to do; I paid and received no order. Customer service is absolutely useless!",PissedConsumer_Global
IKEA no te devuelve el dinero si te roban el paquete ni te manda un remplazo de tu paquete que mal s,PissedConsumer_Global
"I had a scheduled appointment with the online kitchen planning and a link was sent via email at 8:30 AM that expired in 30 minutes. My appointment was for 11:00 AM, I didn't see the link until it was time to connect. I called customer service; they stated the planner would send me another link, but it never happened. It has been 45 minutes and this is very frustrating and disappointing. I hope IKEA can be more reliable with the service they are providing.",PissedConsumer_Global
"I have purchased one of your Tingby rollaround tables and I have one of the casters that are broken. I need a replacement part, in white, so that I can use the table again. Tell me how to get one and if there is a charge for it please. Thank you in advance",PissedConsumer_Global
I have been waiting for them to send me a part that I need for my Havsta hutch since May 2024. I can not use the hutch until I receive the part. Ive spent so much time on the phone requesting this part and they never do what they say they will.,PissedConsumer_Global
Ikea is good and product is also good quality but staff is not good staff behaviour and and arrangment not good in Delhi store,PissedConsumer_Global
"Very nice young lady helped me, but we got disconnected toward the end. I sent her pictures in a video as she requested, but Im not sure the case will be sent in because they called out disconnected.",PissedConsumer_Global
"Dear IKEA Customer Service Team, I hope this message finds you well. My name is Limor Hefetz, and I am writing to file a complaint regarding the unacceptable and unprofessional service I experienced at the Buyback service desk at your Paramus, New Jersey, location on March 22nd. On March 8, 2025, we received a buyback estimation for our IKEA shelving unit in 'as new' condition (Estimation Number: 137****). On March 22nd, 2025, in order to facilitate the return, we proactively purchased appropriate wrapping materials and rented a U-Haul vehicle. Upon arrival at 1:05 PM, my husband was assisted by a representative named Cristina. Her initial attitude was aggressive, indifferent, and hostile. Despite acknowledging the excellent condition of our unit, she insisted that the bottom panels, which we had brought separately, be attached. My husband understood this requirement and was prepared to comply.",PissedConsumer_Global
"Our experience with Ikea has been so awful. First, they told us they had a rug in stock at their College Park store. By the time we got there, less than an hour later, they didn't have it. Then we ordered the rug and a rug pad online, and they arrived 3 days late. The rug pad was so thin and useless that we've been trying to return it. I paid for return shipping, and they told me to expect a delivery person between 9 am and 9 pm on July 11th.",PissedConsumer_Global
"The transporter called me half an hour before the time slot ended to tell me that he could not make the delivery (oven) necessary for the installation of the kitchen the next day. I lost one day waiting for him, and I have to take another day permit to wait for the oven after the kitchen has been installed. In addition, I lost another day because some pieces were delivered in advance on a different day from another vendor. IKEA never again.",PissedConsumer_Global
"My small-town post office doesn't deliver to homes; there are only PO Boxes, and if a package comes, they hold it for us. So I put in my PO Box number on my order, and unlike other websites that won't ship to PO Boxes and give you an error message SAYING SO, the Ikea website just lets it go through. Then, when it comes time to ship your items, they look and say OMG, it's a PO Box, we don't ship to them! So they look up the last address they have for you, and FedEx it to that. In my case, my PO Box is in southern California, and the last address they have for me is in Oregon. So they sent it a thousand miles away.",PissedConsumer_Global
"I kept and built a defective cabinet which I could have exchanged because I was told I would receive a $50 digital IKEA gift card as compensation. Required a ton of extra effort on my part and turned out OK but not nearly as nice as it was supposed to be. And then, no gift card in spite of 3 follow-up calls from me. (Emails are totally ignored.) More promises made but none of those happened either. AND, to make it all a lot worse, the only reviews you can give are about the agent, not about receiving any actual help. The whole situation TOTALLY sucks.",PissedConsumer_Global
"Updated by user Feb 21, 2025 Company fixed the issue and I have been provided with apology. I kept calling and emailing the company. Original review Jan 21, 2025 This entire situation has gone beyond ridiculous. I trusted IKEA to accommodate the order and complete the transaction of my new kitchen. I met three times with store personnel, and confirmed with an online planner that my order could be delivered, would be delivered, and that if I used the delivery service, ALL items on my list would be available. I then paid the amount on the invoice with that trust in place. I have made about 7 phone calls to IKEA, and have spoken with multiple people who are unable to assist in any way. This is so absurd that it deserves a full-scale evaluation and case study by anyone at IKEA who may be remotely interested in figuring out how to really mess up a customer order.  I still do not have but two small boxes delivered by FedEx a day late. What is going on? And why can IKEA not assist? No one can. Every single phone call is met with the same set of confusion.  BACKGROUND  The order has been delayed for over 3 weeks. I have made multiple calls. I have paid $10,000+ for a complete kitchen that was supposed to have been delivered on December 30, 2024. Each call to a customer service representative results in two different stories. 1. The items are not all available. 2. The delivery company is delayed. The delivery company has attempted to deliver one time on a date that was not scheduled. I was not home. This has ceased to be appropriate, or truthful, or even sane. What is going on? Why can't IKEA be honest? Manage this order? Report the situation accurately? Locate my order? Get the $10,000 in materials to my location? Redirect the order? Allow me to pick it up? Solve this situation? I have a completely gutted kitchen ready for the cabinetry and all associated parts. IKEA has no idea what's going on.  Can anyone assist? Or am I intentionally being delayed, dealt untruths, or simply caught up in an organization that has no real people in it?",PissedConsumer_Global
"purchased a kitchen at Ikea burbank store in october 2024 and have received 4 partial shipments but never received the bulk of the shipment and spoke to dozens of customer service representative who keep promising a delivery ""tomorrow"" that never happens",PissedConsumer_Global
"Original review updated Jun 17, 2024 My wife and I recently ordered a couch and throw pillows from Ikea, and unfortunately, our experience was far from satisfactory. Let me break down the issues we encountered: Delayed Delivery and Extra Charges: We paid an additional $150 for scheduled delivery, with the promise of receiving our items within three days. However, the reality was quite different. After we paid, it took us well over a week to get a scheduled delivery.",PissedConsumer_Global
"First off, they reply in Estonian, even when requesting someone that speaks English. Id love to speak the language, but I just dont. When the delivery person did not respond when I called at a missed delivery (because he did not park at the correct apartment building..and then walked over to mine, quickly taking a photopart of the scam), I looked at my ikea.ee message and it said to contact them. I contacted them and they said you can only get help via email. Well, thats weird, but okay. So I do.",PissedConsumer_Global
"I placed an order, paid in-store for shipping, and my order has not arrived. I called customer service a total of 10 times and I still have no answers. I have no idea what to do; I paid and received no order. Customer service is absolutely useless!",PissedConsumer_Global
IKEA no te devuelve el dinero si te roban el paquete ni te manda un remplazo de tu paquete que mal s,PissedConsumer_Global
"I had a scheduled appointment with the online kitchen planning and a link was sent via email at 8:30 AM that expired in 30 minutes. My appointment was for 11:00 AM, I didn't see the link until it was time to connect. I called customer service; they stated the planner would send me another link, but it never happened. It has been 45 minutes and this is very frustrating and disappointing. I hope IKEA can be more reliable with the service they are providing.",PissedConsumer_Global
"I have purchased one of your Tingby rollaround tables and I have one of the casters that are broken. I need a replacement part, in white, so that I can use the table again. Tell me how to get one and if there is a charge for it please. Thank you in advance",PissedConsumer_Global
I have been waiting for them to send me a part that I need for my Havsta hutch since May 2024. I can not use the hutch until I receive the part. Ive spent so much time on the phone requesting this part and they never do what they say they will.,PissedConsumer_Global
Ikea is good and product is also good quality but staff is not good staff behaviour and and arrangment not good in Delhi store,PissedConsumer_Global
"Very nice young lady helped me, but we got disconnected toward the end. I sent her pictures in a video as she requested, but Im not sure the case will be sent in because they called out disconnected.",PissedConsumer_Global
"Dear IKEA Customer Service Team, I hope this message finds you well. My name is Limor Hefetz, and I am writing to file a complaint regarding the unacceptable and unprofessional service I experienced at the Buyback service desk at your Paramus, New Jersey, location on March 22nd. On March 8, 2025, we received a buyback estimation for our IKEA shelving unit in 'as new' condition (Estimation Number: 137****). On March 22nd, 2025, in order to facilitate the return, we proactively purchased appropriate wrapping materials and rented a U-Haul vehicle. Upon arrival at 1:05 PM, my husband was assisted by a representative named Cristina. Her initial attitude was aggressive, indifferent, and hostile. Despite acknowledging the excellent condition of our unit, she insisted that the bottom panels, which we had brought separately, be attached. My husband understood this requirement and was prepared to comply.",PissedConsumer_Global
"Our experience with Ikea has been so awful. First, they told us they had a rug in stock at their College Park store. By the time we got there, less than an hour later, they didn't have it. Then we ordered the rug and a rug pad online, and they arrived 3 days late. The rug pad was so thin and useless that we've been trying to return it. I paid for return shipping, and they told me to expect a delivery person between 9 am and 9 pm on July 11th.",PissedConsumer_Global
"The transporter called me half an hour before the time slot ended to tell me that he could not make the delivery (oven) necessary for the installation of the kitchen the next day. I lost one day waiting for him, and I have to take another day permit to wait for the oven after the kitchen has been installed. In addition, I lost another day because some pieces were delivered in advance on a different day from another vendor. IKEA never again.",PissedConsumer_Global
"My small-town post office doesn't deliver to homes; there are only PO Boxes, and if a package comes, they hold it for us. So I put in my PO Box number on my order, and unlike other websites that won't ship to PO Boxes and give you an error message SAYING SO, the Ikea website just lets it go through. Then, when it comes time to ship your items, they look and say OMG, it's a PO Box, we don't ship to them! So they look up the last address they have for you, and FedEx it to that. In my case, my PO Box is in southern California, and the last address they have for me is in Oregon. So they sent it a thousand miles away.",PissedConsumer_Global
"I kept and built a defective cabinet which I could have exchanged because I was told I would receive a $50 digital IKEA gift card as compensation. Required a ton of extra effort on my part and turned out OK but not nearly as nice as it was supposed to be. And then, no gift card in spite of 3 follow-up calls from me. (Emails are totally ignored.) More promises made but none of those happened either. AND, to make it all a lot worse, the only reviews you can give are about the agent, not about receiving any actual help. The whole situation TOTALLY sucks.",PissedConsumer_Global
"Updated by user Feb 21, 2025 Company fixed the issue and I have been provided with apology. I kept calling and emailing the company. Original review Jan 21, 2025 This entire situation has gone beyond ridiculous. I trusted IKEA to accommodate the order and complete the transaction of my new kitchen. I met three times with store personnel, and confirmed with an online planner that my order could be delivered, would be delivered, and that if I used the delivery service, ALL items on my list would be available. I then paid the amount on the invoice with that trust in place. I have made about 7 phone calls to IKEA, and have spoken with multiple people who are unable to assist in any way. This is so absurd that it deserves a full-scale evaluation and case study by anyone at IKEA who may be remotely interested in figuring out how to really mess up a customer order.  I still do not have but two small boxes delivered by FedEx a day late. What is going on? And why can IKEA not assist? No one can. Every single phone call is met with the same set of confusion.  BACKGROUND  The order has been delayed for over 3 weeks. I have made multiple calls. I have paid $10,000+ for a complete kitchen that was supposed to have been delivered on December 30, 2024. Each call to a customer service representative results in two different stories. 1. The items are not all available. 2. The delivery company is delayed. The delivery company has attempted to deliver one time on a date that was not scheduled. I was not home. This has ceased to be appropriate, or truthful, or even sane. What is going on? Why can't IKEA be honest? Manage this order? Report the situation accurately? Locate my order? Get the $10,000 in materials to my location? Redirect the order? Allow me to pick it up? Solve this situation? I have a completely gutted kitchen ready for the cabinetry and all associated parts. IKEA has no idea what's going on.  Can anyone assist? Or am I intentionally being delayed, dealt untruths, or simply caught up in an organization that has no real people in it?",PissedConsumer_Global
"purchased a kitchen at Ikea burbank store in october 2024 and have received 4 partial shipments but never received the bulk of the shipment and spoke to dozens of customer service representative who keep promising a delivery ""tomorrow"" that never happens",PissedConsumer_Global
"Original review updated Jun 17, 2024 My wife and I recently ordered a couch and throw pillows from Ikea, and unfortunately, our experience was far from satisfactory. Let me break down the issues we encountered: Delayed Delivery and Extra Charges: We paid an additional $150 for scheduled delivery, with the promise of receiving our items within three days. However, the reality was quite different. After we paid, it took us well over a week to get a scheduled delivery.",PissedConsumer_Global
"First off, they reply in Estonian, even when requesting someone that speaks English. Id love to speak the language, but I just dont. When the delivery person did not respond when I called at a missed delivery (because he did not park at the correct apartment building..and then walked over to mine, quickly taking a photopart of the scam), I looked at my ikea.ee message and it said to contact them. I contacted them and they said you can only get help via email. Well, thats weird, but okay. So I do.",PissedConsumer_Global
"I placed an order, paid in-store for shipping, and my order has not arrived. I called customer service a total of 10 times and I still have no answers. I have no idea what to do; I paid and received no order. Customer service is absolutely useless!",PissedConsumer_Global
IKEA no te devuelve el dinero si te roban el paquete ni te manda un remplazo de tu paquete que mal s,PissedConsumer_Global
"I had a scheduled appointment with the online kitchen planning and a link was sent via email at 8:30 AM that expired in 30 minutes. My appointment was for 11:00 AM, I didn't see the link until it was time to connect. I called customer service; they stated the planner would send me another link, but it never happened. It has been 45 minutes and this is very frustrating and disappointing. I hope IKEA can be more reliable with the service they are providing.",PissedConsumer_Global
"I have purchased one of your Tingby rollaround tables and I have one of the casters that are broken. I need a replacement part, in white, so that I can use the table again. Tell me how to get one and if there is a charge for it please. Thank you in advance",PissedConsumer_Global
I have been waiting for them to send me a part that I need for my Havsta hutch since May 2024. I can not use the hutch until I receive the part. Ive spent so much time on the phone requesting this part and they never do what they say they will.,PissedConsumer_Global
Ikea is good and product is also good quality but staff is not good staff behaviour and and arrangment not good in Delhi store,PissedConsumer_Global
"Very nice young lady helped me, but we got disconnected toward the end. I sent her pictures in a video as she requested, but Im not sure the case will be sent in because they called out disconnected.",PissedConsumer_Global
"Dear IKEA Customer Service Team, I hope this message finds you well. My name is Limor Hefetz, and I am writing to file a complaint regarding the unacceptable and unprofessional service I experienced at the Buyback service desk at your Paramus, New Jersey, location on March 22nd. On March 8, 2025, we received a buyback estimation for our IKEA shelving unit in 'as new' condition (Estimation Number: 137****). On March 22nd, 2025, in order to facilitate the return, we proactively purchased appropriate wrapping materials and rented a U-Haul vehicle. Upon arrival at 1:05 PM, my husband was assisted by a representative named Cristina. Her initial attitude was aggressive, indifferent, and hostile. Despite acknowledging the excellent condition of our unit, she insisted that the bottom panels, which we had brought separately, be attached. My husband understood this requirement and was prepared to comply.",PissedConsumer_Global
"Our experience with Ikea has been so awful. First, they told us they had a rug in stock at their College Park store. By the time we got there, less than an hour later, they didn't have it. Then we ordered the rug and a rug pad online, and they arrived 3 days late. The rug pad was so thin and useless that we've been trying to return it. I paid for return shipping, and they told me to expect a delivery person between 9 am and 9 pm on July 11th.",PissedConsumer_Global
"The transporter called me half an hour before the time slot ended to tell me that he could not make the delivery (oven) necessary for the installation of the kitchen the next day. I lost one day waiting for him, and I have to take another day permit to wait for the oven after the kitchen has been installed. In addition, I lost another day because some pieces were delivered in advance on a different day from another vendor. IKEA never again.",PissedConsumer_Global
"My small-town post office doesn't deliver to homes; there are only PO Boxes, and if a package comes, they hold it for us. So I put in my PO Box number on my order, and unlike other websites that won't ship to PO Boxes and give you an error message SAYING SO, the Ikea website just lets it go through. Then, when it comes time to ship your items, they look and say OMG, it's a PO Box, we don't ship to them! So they look up the last address they have for you, and FedEx it to that. In my case, my PO Box is in southern California, and the last address they have for me is in Oregon. So they sent it a thousand miles away.",PissedConsumer_Global
"I kept and built a defective cabinet which I could have exchanged because I was told I would receive a $50 digital IKEA gift card as compensation. Required a ton of extra effort on my part and turned out OK but not nearly as nice as it was supposed to be. And then, no gift card in spite of 3 follow-up calls from me. (Emails are totally ignored.) More promises made but none of those happened either. AND, to make it all a lot worse, the only reviews you can give are about the agent, not about receiving any actual help. The whole situation TOTALLY sucks.",PissedConsumer_Global
"Updated by user Feb 21, 2025 Company fixed the issue and I have been provided with apology. I kept calling and emailing the company. Original review Jan 21, 2025 This entire situation has gone beyond ridiculous. I trusted IKEA to accommodate the order and complete the transaction of my new kitchen. I met three times with store personnel, and confirmed with an online planner that my order could be delivered, would be delivered, and that if I used the delivery service, ALL items on my list would be available. I then paid the amount on the invoice with that trust in place. I have made about 7 phone calls to IKEA, and have spoken with multiple people who are unable to assist in any way. This is so absurd that it deserves a full-scale evaluation and case study by anyone at IKEA who may be remotely interested in figuring out how to really mess up a customer order.  I still do not have but two small boxes delivered by FedEx a day late. What is going on? And why can IKEA not assist? No one can. Every single phone call is met with the same set of confusion.  BACKGROUND  The order has been delayed for over 3 weeks. I have made multiple calls. I have paid $10,000+ for a complete kitchen that was supposed to have been delivered on December 30, 2024. Each call to a customer service representative results in two different stories. 1. The items are not all available. 2. The delivery company is delayed. The delivery company has attempted to deliver one time on a date that was not scheduled. I was not home. This has ceased to be appropriate, or truthful, or even sane. What is going on? Why can't IKEA be honest? Manage this order? Report the situation accurately? Locate my order? Get the $10,000 in materials to my location? Redirect the order? Allow me to pick it up? Solve this situation? I have a completely gutted kitchen ready for the cabinetry and all associated parts. IKEA has no idea what's going on.  Can anyone assist? Or am I intentionally being delayed, dealt untruths, or simply caught up in an organization that has no real people in it?",PissedConsumer_Global
"purchased a kitchen at Ikea burbank store in october 2024 and have received 4 partial shipments but never received the bulk of the shipment and spoke to dozens of customer service representative who keep promising a delivery ""tomorrow"" that never happens",PissedConsumer_Global
"Original review updated Jun 17, 2024 My wife and I recently ordered a couch and throw pillows from Ikea, and unfortunately, our experience was far from satisfactory. Let me break down the issues we encountered: Delayed Delivery and Extra Charges: We paid an additional $150 for scheduled delivery, with the promise of receiving our items within three days. However, the reality was quite different. After we paid, it took us well over a week to get a scheduled delivery.",PissedConsumer_Global
"First off, they reply in Estonian, even when requesting someone that speaks English. Id love to speak the language, but I just dont. When the delivery person did not respond when I called at a missed delivery (because he did not park at the correct apartment building..and then walked over to mine, quickly taking a photopart of the scam), I looked at my ikea.ee message and it said to contact them. I contacted them and they said you can only get help via email. Well, thats weird, but okay. So I do.",PissedConsumer_Global
"I placed an order, paid in-store for shipping, and my order has not arrived. I called customer service a total of 10 times and I still have no answers. I have no idea what to do; I paid and received no order. Customer service is absolutely useless!",PissedConsumer_Global
IKEA no te devuelve el dinero si te roban el paquete ni te manda un remplazo de tu paquete que mal s,PissedConsumer_Global
"I had a scheduled appointment with the online kitchen planning and a link was sent via email at 8:30 AM that expired in 30 minutes. My appointment was for 11:00 AM, I didn't see the link until it was time to connect. I called customer service; they stated the planner would send me another link, but it never happened. It has been 45 minutes and this is very frustrating and disappointing. I hope IKEA can be more reliable with the service they are providing.",PissedConsumer_Global
"I have purchased one of your Tingby rollaround tables and I have one of the casters that are broken. I need a replacement part, in white, so that I can use the table again. Tell me how to get one and if there is a charge for it please. Thank you in advance",PissedConsumer_Global
I have been waiting for them to send me a part that I need for my Havsta hutch since May 2024. I can not use the hutch until I receive the part. Ive spent so much time on the phone requesting this part and they never do what they say they will.,PissedConsumer_Global
Ikea is good and product is also good quality but staff is not good staff behaviour and and arrangment not good in Delhi store,PissedConsumer_Global
"Very nice young lady helped me, but we got disconnected toward the end. I sent her pictures in a video as she requested, but Im not sure the case will be sent in because they called out disconnected.",PissedConsumer_Global
"Dear IKEA Customer Service Team, I hope this message finds you well. My name is Limor Hefetz, and I am writing to file a complaint regarding the unacceptable and unprofessional service I experienced at the Buyback service desk at your Paramus, New Jersey, location on March 22nd. On March 8, 2025, we received a buyback estimation for our IKEA shelving unit in 'as new' condition (Estimation Number: 137****). On March 22nd, 2025, in order to facilitate the return, we proactively purchased appropriate wrapping materials and rented a U-Haul vehicle. Upon arrival at 1:05 PM, my husband was assisted by a representative named Cristina. Her initial attitude was aggressive, indifferent, and hostile. Despite acknowledging the excellent condition of our unit, she insisted that the bottom panels, which we had brought separately, be attached. My husband understood this requirement and was prepared to comply.",PissedConsumer_Global
"Our experience with Ikea has been so awful. First, they told us they had a rug in stock at their College Park store. By the time we got there, less than an hour later, they didn't have it. Then we ordered the rug and a rug pad online, and they arrived 3 days late. The rug pad was so thin and useless that we've been trying to return it. I paid for return shipping, and they told me to expect a delivery person between 9 am and 9 pm on July 11th.",PissedConsumer_Global
"The transporter called me half an hour before the time slot ended to tell me that he could not make the delivery (oven) necessary for the installation of the kitchen the next day. I lost one day waiting for him, and I have to take another day permit to wait for the oven after the kitchen has been installed. In addition, I lost another day because some pieces were delivered in advance on a different day from another vendor. IKEA never again.",PissedConsumer_Global
"My small-town post office doesn't deliver to homes; there are only PO Boxes, and if a package comes, they hold it for us. So I put in my PO Box number on my order, and unlike other websites that won't ship to PO Boxes and give you an error message SAYING SO, the Ikea website just lets it go through. Then, when it comes time to ship your items, they look and say OMG, it's a PO Box, we don't ship to them! So they look up the last address they have for you, and FedEx it to that. In my case, my PO Box is in southern California, and the last address they have for me is in Oregon. So they sent it a thousand miles away.",PissedConsumer_Global
"I kept and built a defective cabinet which I could have exchanged because I was told I would receive a $50 digital IKEA gift card as compensation. Required a ton of extra effort on my part and turned out OK but not nearly as nice as it was supposed to be. And then, no gift card in spite of 3 follow-up calls from me. (Emails are totally ignored.) More promises made but none of those happened either. AND, to make it all a lot worse, the only reviews you can give are about the agent, not about receiving any actual help. The whole situation TOTALLY sucks.",PissedConsumer_Global
"Updated by user Feb 21, 2025 Company fixed the issue and I have been provided with apology. I kept calling and emailing the company. Original review Jan 21, 2025 This entire situation has gone beyond ridiculous. I trusted IKEA to accommodate the order and complete the transaction of my new kitchen. I met three times with store personnel, and confirmed with an online planner that my order could be delivered, would be delivered, and that if I used the delivery service, ALL items on my list would be available. I then paid the amount on the invoice with that trust in place. I have made about 7 phone calls to IKEA, and have spoken with multiple people who are unable to assist in any way. This is so absurd that it deserves a full-scale evaluation and case study by anyone at IKEA who may be remotely interested in figuring out how to really mess up a customer order.  I still do not have but two small boxes delivered by FedEx a day late. What is going on? And why can IKEA not assist? No one can. Every single phone call is met with the same set of confusion.  BACKGROUND  The order has been delayed for over 3 weeks. I have made multiple calls. I have paid $10,000+ for a complete kitchen that was supposed to have been delivered on December 30, 2024. Each call to a customer service representative results in two different stories. 1. The items are not all available. 2. The delivery company is delayed. The delivery company has attempted to deliver one time on a date that was not scheduled. I was not home. This has ceased to be appropriate, or truthful, or even sane. What is going on? Why can't IKEA be honest? Manage this order? Report the situation accurately? Locate my order? Get the $10,000 in materials to my location? Redirect the order? Allow me to pick it up? Solve this situation? I have a completely gutted kitchen ready for the cabinetry and all associated parts. IKEA has no idea what's going on.  Can anyone assist? Or am I intentionally being delayed, dealt untruths, or simply caught up in an organization that has no real people in it?",PissedConsumer_Global
"purchased a kitchen at Ikea burbank store in october 2024 and have received 4 partial shipments but never received the bulk of the shipment and spoke to dozens of customer service representative who keep promising a delivery ""tomorrow"" that never happens",PissedConsumer_Global
"Original review updated Jun 17, 2024 My wife and I recently ordered a couch and throw pillows from Ikea, and unfortunately, our experience was far from satisfactory. Let me break down the issues we encountered: Delayed Delivery and Extra Charges: We paid an additional $150 for scheduled delivery, with the promise of receiving our items within three days. However, the reality was quite different. After we paid, it took us well over a week to get a scheduled delivery.",PissedConsumer_Global
"First off, they reply in Estonian, even when requesting someone that speaks English. Id love to speak the language, but I just dont. When the delivery person did not respond when I called at a missed delivery (because he did not park at the correct apartment building..and then walked over to mine, quickly taking a photopart of the scam), I looked at my ikea.ee message and it said to contact them. I contacted them and they said you can only get help via email. Well, thats weird, but okay. So I do.",PissedConsumer_Global
"I placed an order, paid in-store for shipping, and my order has not arrived. I called customer service a total of 10 times and I still have no answers. I have no idea what to do; I paid and received no order. Customer service is absolutely useless!",PissedConsumer_Global
IKEA no te devuelve el dinero si te roban el paquete ni te manda un remplazo de tu paquete que mal s,PissedConsumer_Global
"I had a scheduled appointment with the online kitchen planning and a link was sent via email at 8:30 AM that expired in 30 minutes. My appointment was for 11:00 AM, I didn't see the link until it was time to connect. I called customer service; they stated the planner would send me another link, but it never happened. It has been 45 minutes and this is very frustrating and disappointing. I hope IKEA can be more reliable with the service they are providing.",PissedConsumer_Global
"I have purchased one of your Tingby rollaround tables and I have one of the casters that are broken. I need a replacement part, in white, so that I can use the table again. Tell me how to get one and if there is a charge for it please. Thank you in advance",PissedConsumer_Global
I have been waiting for them to send me a part that I need for my Havsta hutch since May 2024. I can not use the hutch until I receive the part. Ive spent so much time on the phone requesting this part and they never do what they say they will.,PissedConsumer_Global
Ikea is good and product is also good quality but staff is not good staff behaviour and and arrangment not good in Delhi store,PissedConsumer_Global
"Very nice young lady helped me, but we got disconnected toward the end. I sent her pictures in a video as she requested, but Im not sure the case will be sent in because they called out disconnected.",PissedConsumer_Global
"Dear IKEA Customer Service Team, I hope this message finds you well. My name is Limor Hefetz, and I am writing to file a complaint regarding the unacceptable and unprofessional service I experienced at the Buyback service desk at your Paramus, New Jersey, location on March 22nd. On March 8, 2025, we received a buyback estimation for our IKEA shelving unit in 'as new' condition (Estimation Number: 137****). On March 22nd, 2025, in order to facilitate the return, we proactively purchased appropriate wrapping materials and rented a U-Haul vehicle. Upon arrival at 1:05 PM, my husband was assisted by a representative named Cristina. Her initial attitude was aggressive, indifferent, and hostile. Despite acknowledging the excellent condition of our unit, she insisted that the bottom panels, which we had brought separately, be attached. My husband understood this requirement and was prepared to comply.",PissedConsumer_Global
"Our experience with Ikea has been so awful. First, they told us they had a rug in stock at their College Park store. By the time we got there, less than an hour later, they didn't have it. Then we ordered the rug and a rug pad online, and they arrived 3 days late. The rug pad was so thin and useless that we've been trying to return it. I paid for return shipping, and they told me to expect a delivery person between 9 am and 9 pm on July 11th.",PissedConsumer_Global
"The transporter called me half an hour before the time slot ended to tell me that he could not make the delivery (oven) necessary for the installation of the kitchen the next day. I lost one day waiting for him, and I have to take another day permit to wait for the oven after the kitchen has been installed. In addition, I lost another day because some pieces were delivered in advance on a different day from another vendor. IKEA never again.",PissedConsumer_Global
"My small-town post office doesn't deliver to homes; there are only PO Boxes, and if a package comes, they hold it for us. So I put in my PO Box number on my order, and unlike other websites that won't ship to PO Boxes and give you an error message SAYING SO, the Ikea website just lets it go through. Then, when it comes time to ship your items, they look and say OMG, it's a PO Box, we don't ship to them! So they look up the last address they have for you, and FedEx it to that. In my case, my PO Box is in southern California, and the last address they have for me is in Oregon. So they sent it a thousand miles away.",PissedConsumer_Global
"I kept and built a defective cabinet which I could have exchanged because I was told I would receive a $50 digital IKEA gift card as compensation. Required a ton of extra effort on my part and turned out OK but not nearly as nice as it was supposed to be. And then, no gift card in spite of 3 follow-up calls from me. (Emails are totally ignored.) More promises made but none of those happened either. AND, to make it all a lot worse, the only reviews you can give are about the agent, not about receiving any actual help. The whole situation TOTALLY sucks. And I am left wanting revenge. And those emoticons are not the ones I chose but it won't let me delete them.",PissedConsumer_Global
"Updated by user Feb 21, 2025 Company fixed the issue and I have been provided with apology. I kept calling and emailing the company. Original review Jan 21, 2025 This entire situation has gone beyond ridiculous. I trusted IKEA to accommodate the order and complete the transaction of my new kitchen. I met three times with store personnel, and confirmed with an online planner that my order could be delivered, would be delivered, and that if I used the delivery service, ALL items on my list would be available. I then paid the amount on the invoice with that trust in place. I have made about 7 phone calls to IKEA, and have spoken with multiple people who are unable to assist in any way. This is so absurd that it deserves a full-scale evaluation and case study by anyone at IKEA who may be remotely interested in figuring out how to really mess up a customer order.  I still do not have but two small boxes delivered by FedEx a day late. What is going on? And why can IKEA not assist? No one can. Every single phone call is met with the same set of confusion.  BACKGROUND  The order has been delayed for over 3 weeks. I have made multiple calls. I have paid $10,000+ for a complete kitchen that was supposed to have been delivered on December 30, 2024. Each call to a customer service representative results in two different stories. 1. The items are not all available. 2. The delivery company is delayed. The delivery company has attempted to deliver one time on a date that was not scheduled. I was not home. This has ceased to be appropriate, or truthful, or even sane. What is going on? Why can't IKEA be honest? Manage this order? Report the situation accurately? Locate my order? Get the $10,000 in materials to my location? Redirect the order? Allow me to pick it up? Solve this situation? I have a completely gutted kitchen ready for the cabinetry and all associated parts. IKEA has no idea what's going on.  Can anyone assist? Or am I intentionally being delayed, dealt untruths, or simply caught up in an organization that has no real people in it?",PissedConsumer_Global
"purchased a kitchen at Ikea burbank store in october 2024 and have received 4 partial shipments but never received the bulk of the shipment and spoke to dozens of customer service representative who keep promising a delivery ""tomorrow"" that never happens",PissedConsumer_Global
"Original review updated Jun 17, 2024 My wife and I recently ordered a couch and throw pillows from Ikea, and unfortunately, our experience was far from satisfactory. Let me break down the issues we encountered: Delayed Delivery and Extra Charges: We paid an additional $150 for scheduled delivery, with the promise of receiving our items within three days. However, the reality was quite different. After we paid, it took us well over a week to get a scheduled delivery.",PissedConsumer_Global
